sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jul 24, 2026 10:06:25

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	        FFs	      ADDs	       LUTs	      RAMs	 DSP/MULTs
top_soc:top_soc                                             	   2614(0)	   589(0)	   3129(1)	    16(0)	     4(0)	
 +soc_inst:soc                                              	   2614(0)	   589(0)	   3128(0)	    16(0)	     4(0)	
  +u_EfxSapphireSoc:EfxSapphireSoc_d2361a03f8b148a586ba240a89df7322	 2614(457)	  589(16)	 3128(211)	    16(0)	     4(0)	
   +io_asyncReset_asyncAssertSyncDeassert_buffercc:BufferCC_2_d2361a03f8b148a586ba240a89df7322	      2(2)	     0(0)	      0(0)	     0(0)	     0(0)	
   +debugCd_logic_outputReset_asyncAssertSyncDeassert_buffercc:BufferCC_3_d2361a03f8b148a586ba240a89df7322	      2(2)	     0(0)	      0(0)	     0(0)	     0(0)	
   +system_cores_0_logic_cpu:VexRiscv_d2361a03f8b148a586ba240a89df7322	1313(1245)	 335(335)	2009(1810)	     4(4)	     4(4)	
    +IBusSimplePlugin_rspJoin_rspBuffer_c:StreamFifoLowLatency_d2361a03f8b148a586ba240a89df7322	     68(0)	     0(0)	     11(0)	     0(0)	     0(0)	
     +fifo:StreamFifo_d2361a03f8b148a586ba240a89df7322      	    68(68)	     0(0)	    11(11)	     0(0)	     0(0)	
    +EfxCPUSp2_inst:EfxCPUSp2_d2361a03f8b148a586ba240a89df7322	      0(0)	     0(0)	  188(188)	     0(0)	     0(0)	
   +system_hardJtag_debug_logic_jtagBridge:JtagBridgeNoTap_d2361a03f8b148a586ba240a89df7322	    83(74)	     0(0)	    46(45)	     0(0)	     0(0)	
    +flowCCUnsafeByToggle_1:FlowCCUnsafeByToggle_d2361a03f8b148a586ba240a89df7322	      9(7)	     0(0)	      1(1)	     0(0)	     0(0)	
     +inputArea_target_buffercc:BufferCC_d2361a03f8b148a586ba240a89df7322	      2(2)	     0(0)	      0(0)	     0(0)	     0(0)	
   +system_hardJtag_debug_logic_debugger:SystemDebugger_d2361a03f8b148a586ba240a89df7322	    78(78)	     0(0)	    14(14)	     0(0)	     0(0)	
   +system_cores_0_debugReset_asyncAssertSyncDeassert_buffercc:BufferCC_6_d2361a03f8b148a586ba240a89df7322	      2(2)	     0(0)	      0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_arbiter:BmbArbiter_d2361a03f8b148a586ba240a89df7322	      3(0)	     0(0)	     62(0)	     0(0)	     0(0)	
    +memory_arbiter:StreamArbiter_d2361a03f8b148a586ba240a89df7322	      3(3)	     0(0)	    62(62)	     0(0)	     0(0)	
   +system_bridge_bmb_decoder:BmbDecoder_1_d2361a03f8b148a586ba240a89df7322	    11(11)	   15(15)	    62(62)	     0(0)	     0(0)	
   +bmbDecoder_4:BmbDecoder_2_d2361a03f8b148a586ba240a89df7322	      9(9)	   15(15)	    18(18)	     0(0)	     0(0)	
   +system_ramA_logic:BmbOnChipRam_d2361a03f8b148a586ba240a89df7322	      3(3)	     0(0)	      5(5)	     8(8)	     0(0)	
   +system_bmbPeripheral_bmb_decoder:BmbDecoder_3_d2361a03f8b148a586ba240a89df7322	    78(78)	     0(0)	  131(131)	     0(0)	     0(0)	
   +system_clint_logic:BmbClint_d2361a03f8b148a586ba240a89df7322	  166(166)	   63(63)	  144(144)	     0(0)	     0(0)	
   +system_uart_0_io_logic:BmbUartCtrl_d2361a03f8b148a586ba240a89df7322	   180(64)	    82(9)	   191(58)	     2(0)	     0(0)	
    +uartCtrl_1:UartCtrl_d2361a03f8b148a586ba240a89df7322   	    66(21)	   27(21)	   109(27)	     0(0)	     0(0)	
     +tx:UartCtrlTx_d2361a03f8b148a586ba240a89df7322        	    11(11)	     0(0)	    35(35)	     0(0)	     0(0)	
     +rx:UartCtrlRx_d2361a03f8b148a586ba240a89df7322        	    34(32)	     6(6)	    47(47)	     0(0)	     0(0)	
      +io_rxd_buffercc:BufferCC_1_d2361a03f8b148a586ba240a89df7322	      2(2)	     0(0)	      0(0)	     0(0)	     0(0)	
    +bridge_write_streamUnbuffered_queueWithOccupancy:StreamFifo_1_d2361a03f8b148a586ba240a89df7322	    25(25)	   23(23)	    14(14)	     1(1)	     0(0)	
    +uartCtrl_1_io_read_queueWithOccupancy:StreamFifo_1_d2361a03f8b148a586ba240a89df7322	    25(25)	   23(23)	    10(10)	     1(1)	     0(0)	
   +system_spi_0_io_logic:BmbSpiXdrMasterCtrl_d2361a03f8b148a586ba240a89df7322	  191(103)	    63(0)	   200(72)	     2(0)	     0(0)	
    +ctrl:TopLevel_d2361a03f8b148a586ba240a89df7322         	    32(32)	   11(11)	    79(79)	     0(0)	     0(0)	
    +mapping_cmdLogic_streamUnbuffered_queueWithAvailability:StreamFifo_3_d2361a03f8b148a586ba240a89df7322	    28(28)	   26(26)	    21(21)	     1(1)	     0(0)	
    +ctrl_io_rsp_queueWithOccupancy:StreamFifo_4_d2361a03f8b148a586ba240a89df7322	    28(28)	   26(26)	    28(28)	     1(1)	     0(0)	
   +system_gpio_0_io_logic:BmbGpio2_d2361a03f8b148a586ba240a89df7322	    33(33)	     0(0)	    35(35)	     0(0)	     0(0)	
   +io_apbSlave_0_logic:BmbToApb3Bridge_d2361a03f8b148a586ba240a89df7322	      3(3)	     0(0)	      0(0)	     0(0)	     0(0)	
