Zaman(s),Raw_Ax,Raw_Ay,Raw_Az,Raw_Gx,Raw_Gy,Raw_Gz,Angle_X,Angle_Y,Angle_Z,Filt_Ax,Filt_Ay,Filt_Az,Filt_Gx,Filt_Gy,Filt_Gz
0.0131,200,286,16267,4,0,7,129,130,127,128,236,16695,4,1,6
0.0295,100,274,16711,3,1,7,129,130,127,146,248,16588,4,0,6
0.0296,116,314,16363,4,-4,9,129,130,127,134,254,16618,3,0,6
0.0452,196,346,16943,6,3,7,129,132,127,129,269,16554,3,-1,6
0.0614,192,214,16275,6,-1,8,129,132,127,145,288,16651,3,0,6
0.0615,152,254,16467,5,-1,7,129,132,127,156,269,16557,3,-1,6
0.077,200,222,16539,8,-2,9,129,132,127,155,265,16534,3,-1,6
0.0771,156,254,16563,7,-1,10,129,131,127,166,254,16535,4,-2,6
0.0931,240,294,16407,4,0,10,129,131,127,163,254,16542,4,-2,7
0.1093,172,286,16555,4,0,9,129,132,127,182,264,16508,4,-2,7
0.1094,144,306,16543,6,3,10,129,132,127,179,269,16519,4,-2,7
0.1251,188,310,16355,5,-2,11,129,132,127,170,278,16525,4,-1,7
0.141,124,214,16571,4,-1,10,129,132,127,174,286,16482,4,-2,8
0.1411,196,294,16591,2,-1,10,129,132,127,161,268,16504,4,-2,8
0.1572,160,294,16411,4,1,10,129,132,127,169,274,16525,3,-2,8
0.1735,188,238,16411,4,0,10,129,132,127,166,279,16496,3,-2,8
0.1735,192,274,16519,6,-1,9,129,132,127,171,268,16474,3,-2,8
0.1895,184,214,16543,6,-1,6,129,132,127,176,269,16485,3,-2,8
0.1896,172,234,16411,6,-2,7,129,132,127,178,255,16499,3,-2,7
0.2051,128,278,16655,3,2,8,129,131,127,176,249,16477,3,-2,7
0.2215,152,218,16431,5,2,7,129,131,127,164,256,16521,3,-1,7
0.2215,200,230,16487,4,-2,8,129,131,127,161,246,16498,3,-1,7
0.2375,176,250,16527,5,-1,10,129,131,127,170,242,16495,3,-2,7
0.2531,116,278,16551,5,-2,8,129,131,127,171,244,16503,3,-2,7
0.2532,208,262,16563,6,0,7,129,131,127,157,252,16515,3,-2,7
0.2695,176,294,16535,6,1,10,129,131,127,169,254,16527,3,-2,7
0.2854,136,218,16471,5,-1,10,129,131,127,170,264,16529,3,-2,7
0.2855,160,278,16463,5,-1,8,129,131,127,161,252,16514,3,-2,7
0.3012,84,282,16515,6,-2,11,129,131,127,160,258,16501,3,-2,7
0.3013,160,250,16579,3,1,10,129,132,127,141,264,16504,3,-2,8
0.3171,156,290,16487,4,-1,10,129,132,127,145,260,16522,3,-2,8
0.3334,168,346,16523,7,0,10,129,132,127,147,267,16513,3,-2,8
0.3335,120,246,16479,4,1,10,129,132,127,152,286,16515,4,-2,8
0.3498,204,306,16591,4,0,9,129,132,127,144,276,16506,4,-2,8
0.3651,220,230,16583,5,-1,10,129,132,127,159,283,16527,4,-2,8
0.3651,232,178,16483,3,-1,8,129,132,127,174,269,16541,4,-2,8
0.3815,208,218,16647,5,-1,7,129,132,127,188,246,16526,3,-2,8
0.3816,160,226,16547,8,0,9,130,131,127,193,239,16556,3,-2,7
0.3975,244,194,16475,6,1,8,130,131,127,184,235,16553,4,-2,7
0.413,72,210,16503,6,0,9,130,131,127,199,224,16533,4,-2,7
0.4131,108,266,16507,4,1,8,130,131,127,167,220,16525,4,-2,7
0.4291,136,286,16579,6,-1,7,129,131,127,152,231,16520,4,-2,7
0.4455,120,198,16435,6,0,9,129,131,127,148,244,16534,4,-2,7
0.4455,100,290,16559,5,2,9,129,131,127,141,232,16509,4,-2,7
0.4611,148,210,16547,5,-1,9,129,131,127,130,246,16521,4,-1,7
0.4771,104,230,16563,7,-2,10,129,131,127,134,237,16527,4,-1,7
0.4771,136,226,16503,7,0,10,129,131,127,126,235,16536,4,-2,7
0.4937,200,198,16679,9,3,9,129,131,127,128,232,16527,4,-2,7
0.4937,156,250,16519,6,1,9,129,131,127,146,223,16565,5,-1,7
0.5092,132,206,16587,5,1,8,129,131,127,148,229,16553,5,-1,7
0.5251,148,186,16487,4,1,9,129,131,127,144,223,16561,5,-1,7
0.5252,140,306,16467,5,0,8,129,131,127,145,213,16542,4,-1,7
0.5411,160,418,16587,6,0,8,129,131,127,143,236,16523,4,-1,7
0.5571,220,314,16567,7,3,8,129,131,127,147,281,16539,4,-1,7
0.5572,168,298,16475,6,1,11,129,131,127,165,289,16546,4,0,7
0.573,180,230,16451,5,2,11,129,131,127,165,291,16528,4,0,8
0.589,188,190,16599,2,2,11,129,131,127,168,275,16508,4,0,8
0.5891,212,142,16451,3,2,9,129,131,127,173,253,16530,3,0,8
0.6054,156,134,16555,3,1,7,129,130,127,182,225,16510,3,0,8
0.6055,156,214,16491,3,1,8,129,130,127,175,202,16521,3,0,7
0.621,148,270,16511,2,2,8,129,130,127,170,205,16513,3,0,7
0.637,164,290,16443,5,1,8,129,130,127,164,221,16512,2,0,7
0.6371,184,298,16599,5,0,9,129,130,127,164,238,16494,2,0,7
0.6535,152,330,16491,5,3,8,129,130,127,169,253,16520,2,0,7
0.6691,128,306,16487,5,2,8,129,131,127,164,272,16512,2,0,7
0.6692,132,242,16539,5,0,11,129,131,127,155,280,16505,2,0,7
0.6853,132,122,16451,4,3,10,129,131,127,149,270,16513,2,0,8
0.6854,184,186,16507,6,3,10,129,131,127,144,233,16497,2,0,8
0.7014,176,126,16571,3,3,9,129,130,127,154,221,16499,3,0,8
0.7174,128,250,16479,3,4,10,129,130,127,159,197,16517,3,0,8
0.7175,144,170,16455,3,3,6,129,130,127,151,210,16507,3,1,8
0.7333,152,226,16535,6,2,8,129,130,127,149,200,16494,3,1,7
0.7494,156,226,16535,4,1,10,129,130,127,149,206,16504,3,1,7
0.7494,140,254,16455,6,1,8,129,130,127,150,211,16511,3,1,7
0.7654,128,314,16399,5,0,9,129,130,127,147,221,16497,3,1,7
0.7811,184,354,16391,5,-3,9,129,130,127,142,244,16472,3,0,7
0.7812,92,242,16463,5,-1,9,129,132,127,152,271,16451,3,-1,7
0.7972,220,270,16579,3,0,6,129,132,127,137,263,16454,3,-1,7
0.7972,136,258,16471,6,1,7,129,132,127,157,264,16485,3,-1,6
0.8134,196,222,16535,6,1,7,129,132,127,151,262,16481,3,-1,6
0.8291,160,98,16439,6,0,9,129,131,127,162,252,16494,3,-1,6
0.8292,116,182,16471,5,2,7,129,131,127,161,213,16480,3,-1,6
0.8456,176,190,16415,4,0,6,129,131,127,149,205,16477,3,-1,6
0.8611,200,290,16535,7,-1,6,129,131,127,155,201,16461,3,-1,6
0.8612,180,426,16543,6,-1,6,129,131,127,166,223,16479,4,-1,6
0.8778,216,398,16371,8,0,7,129,131,127,169,273,16495,4,-1,6
0.8779,124,386,16579,4,0,9,129,132,127,180,304,16464,5,-1,6
0.893,220,330,16487,7,0,12,129,132,127,166,324,16492,4,-1,6
0.9091,112,234,16567,9,3,12,129,133,127,179,325,16490,4,-1,7
0.9092,120,130,16651,6,-1,11,129,133,127,162,302,16509,5,0,8
0.9258,120,110,16411,7,1,10,129,132,127,151,259,16544,5,-1,8
0.9411,148,82,16467,7,1,11,129,132,127,143,221,16510,5,-1,8
0.9411,228,154,16535,7,0,8,129,130,127,144,186,16499,5,-1,8
0.9572,184,234,16599,6,0,7,129,130,127,165,178,16508,5,-1,8
0.9734,220,286,16547,5,0,8,129,131,127,169,192,16530,5,-1,7
0.9735,164,382,16579,5,2,9,129,131,127,181,215,16534,5,-1,7
0.9891,84,358,16451,3,-1,7,129,132,127,176,256,16545,5,-1,7
0.9891,56,342,16507,5,1,9,129,132,127,153,281,16521,4,-1,7
1.0054,144,278,16575,8,-1,10,129,132,127,128,296,16517,4,-1,7
1.0215,144,218,16539,4,-3,10,129,132,127,132,291,16531,5,-1,7
1.0216,240,238,16515,4,0,8,129,132,127,135,272,16533,4,-2,7
1.0374,200,166,16475,2,0,9,129,132,127,161,263,16528,4,-2,7
1.0531,208,174,16479,6,1,8,129,131,127,170,238,16514,3,-2,7
1.0532,184,150,16527,8,0,5,129,131,127,179,222,16505,3,-2,7
1.069,172,174,16647,4,0,8,129,131,127,180,204,16510,4,-2,6
1.0854,164,178,16531,3,3,7,129,131,127,178,196,16544,4,-2,6
1.0855,168,334,16483,6,2,7,129,130,127,174,191,16540,3,-1,6
1.1011,132,294,16543,5,2,5,129,130,127,172,226,16525,3,-1,6
1.1012,168,246,16439,3,0,6,129,131,127,162,243,16529,3,-1,5
1.117,144,346,16547,6,0,9,129,131,127,163,243,16506,3,-1,5
1.1334,140,226,16503,4,2,9,129,132,127,158,268,16516,3,-1,6
1.1335,140,242,16579,6,1,8,129,132,127,153,257,16512,3,-1,6
1.1491,188,206,16475,3,0,7,129,131,127,149,253,16528,3,-1,6
1.165,152,242,16527,5,-1,11,129,131,127,158,241,16514,3,-1,6
1.1651,208,166,16499,5,0,8,129,131,127,156,241,16517,3,-1,7
1.1812,120,294,16543,5,-1,6,129,131,127,169,222,16512,3,-1,7
1.1813,152,314,16467,6,0,5,129,131,127,156,240,16519,3,-1,6
1.197,156,394,16363,10,-4,5,129,131,127,155,258,16506,3,-1,5
1.2131,188,310,16831,6,-2,8,129,132,127,155,292,16470,4,-2,5
1.2132,160,302,16659,4,3,10,129,132,127,163,296,16560,4,-2,5
1.2292,68,206,16403,5,3,8,129,132,127,162,297,16584,4,-1,6
1.2452,56,182,16667,6,1,9,129,132,127,138,274,16538,4,0,6
1.2453,96,186,16355,6,2,9,128,130,127,117,251,16570,4,0,6
1.2611,136,218,16415,5,-3,9,128,130,127,111,234,16516,4,0,6
1.2774,260,254,16583,6,-5,9,128,131,127,117,230,16490,4,-1,6
1.2775,164,262,16771,7,1,10,128,131,127,152,236,16513,4,-2,6
1.2934,212,274,16399,5,3,12,129,131,127,155,242,16577,4,-2,7
1.2935,160,302,16483,7,1,9,129,131,127,169,250,16532,4,-1,8
1.3092,156,278,16619,6,-1,7,129,132,127,166,263,16519,4,-1,8
1.3255,192,230,16507,7,-2,8,129,132,127,163,266,16544,4,-1,7
1.3256,148,290,16515,8,-2,9,129,132,127,170,257,16534,4,-2,7
1.3414,160,238,16555,6,-2,9,129,132,127,164,265,16529,5,-2,7
1.3571,168,286,16491,8,1,9,129,132,127,163,258,16535,5,-2,7
1.3572,196,238,16451,6,-2,10,129,132,127,164,265,16524,5,-2,7
1.3731,152,126,16631,6,0,10,129,132,127,172,258,16505,5,-2,7
1.3732,152,194,16663,3,-1,9,129,131,127,167,225,16536,5,-2,7
1.3894,132,242,16519,6,0,9,129,131,127,163,217,16567,4,-2,7
1.4051,156,170,16511,4,3,6,129,131,127,155,223,16555,4,-2,7
1.4052,220,226,16355,4,3,6,129,131,127,155,209,16544,4,-1,6
1.421,152,286,16479,4,1,5,129,130,127,171,213,16496,4,0,6
1.4374,220,210,16579,2,-2,9,129,130,127,166,231,16491,4,0,5
1.4374,160,190,16515,5,-1,10,129,131,127,179,225,16513,3,-1,6
1.4534,180,230,16539,5,2,10,129,131,127,174,216,16513,3,-1,7
1.469,104,234,16535,8,1,10,129,131,127,175,219,16519,3,-1,7
1.4691,112,206,16355,5,0,8,129,131,127,157,222,16523,4,-1,7
1.4852,140,202,16439,4,-2,5,129,131,127,145,218,16481,4,-1,7
1.4853,132,218,16527,3,0,5,129,131,127,143,214,16470,4,-2,6
1.5018,212,266,16515,5,1,6,129,131,127,140,215,16484,3,-2,5
1.5171,144,250,16523,6,0,7,129,131,127,158,227,16491,3,-2,5
