Frame,AX,AY,AZ,GX,GY,GZ
0,10,146,8057,1,4,9
1,10,146,8057,1,4,9
2,10,146,8057,1,4,9
3,10,146,8057,1,4,9
4,10,146,8057,1,4,9
5,10,146,8057,1,4,9
6,10,146,8057,1,4,9
7,10,146,8057,1,4,9
8,10,146,8057,1,4,9
9,10,146,8057,1,4,9
10,10,146,8057,1,4,9
11,10,146,8057,1,4,9
12,10,146,8057,1,4,9
13,10,146,8057,1,4,9
14,10,146,8057,1,4,9
15,10,146,8057,1,4,9
16,10,146,8057,1,4,9
17,10,146,8057,1,4,9
18,10,146,8057,1,4,9
19,10,146,8057,1,4,9
20,10,146,8057,1,4,9
21,10,146,8057,1,4,9
22,10,146,8057,1,4,9
23,10,146,8057,1,4,9
24,10,146,8057,1,4,9
25,10,146,8057,1,4,9
26,10,146,8057,1,4,9
27,10,146,8057,1,4,9
28,10,146,8057,1,4,9
29,10,146,8057,1,4,9
30,10,146,8057,1,4,9
31,10,146,8057,1,4,9
32,10,146,8057,1,4,9
33,10,146,8057,1,4,9
34,10,146,8057,1,4,9
35,10,146,8057,1,4,9
36,10,146,8057,1,4,9
37,10,146,8057,1,4,9
38,10,146,8057,1,4,9
39,10,146,8057,1,4,9
40,10,146,8057,1,4,9
41,10,146,8057,1,4,9
42,10,146,8057,1,4,9
43,10,146,8057,1,4,9
44,10,146,8057,1,4,9
45,10,146,8057,1,4,9
46,10,146,8057,1,4,9
47,10,146,8057,1,4,9
48,10,146,8057,1,4,9
49,10,146,8057,1,4,9
50,10,146,8057,1,4,9
51,10,146,8057,1,4,9
52,10,146,8057,1,4,9
53,10,146,8057,1,4,9
54,10,146,8057,1,4,9
55,10,146,8057,1,4,9
56,10,146,8057,1,4,9
57,10,146,8057,1,4,9
58,10,146,8057,1,4,9
59,10,146,8057,1,4,9
60,10,146,8057,1,4,9
61,10,146,8057,1,4,9
62,10,146,8057,1,4,9
63,10,146,8057,1,4,9
64,10,146,8057,1,4,9
65,10,146,8057,1,4,9
66,10,146,8057,1,4,9
67,16,98,8089,2,4,8
68,16,98,8089,2,4,8
69,16,98,8089,2,4,8
70,16,98,8089,2,4,8
71,16,98,8089,2,4,8
72,16,98,8089,2,4,8
73,16,98,8089,2,4,8
74,16,98,8089,2,4,8
75,16,98,8089,2,4,8
76,16,98,8089,2,4,8
77,16,98,8089,2,4,8
78,16,98,8089,2,4,8
79,16,98,8089,2,4,8
80,16,98,8089,2,4,8
81,16,98,8089,2,4,8
82,16,98,8089,2,4,8
83,16,98,8089,2,4,8
84,16,98,8089,2,4,8
85,16,98,8089,2,4,8
86,16,98,8089,2,4,8
87,16,98,8089,2,4,8
88,16,98,8089,2,4,8
89,16,98,8089,2,4,8
90,16,98,8089,2,4,8
91,16,98,8089,2,4,8
92,16,98,8089,2,4,8
93,16,98,8089,2,4,8
94,16,98,8089,2,4,8
95,16,98,8089,2,4,8
96,16,98,8089,2,4,8
97,16,98,8089,2,4,8
98,16,98,8089,2,4,8
99,16,98,8089,2,4,8
100,16,98,8089,2,4,8
101,16,98,8089,2,4,8
102,16,98,8089,2,4,8
103,16,98,8089,2,4,8
104,16,98,8089,2,4,8
105,16,98,8089,2,4,8
106,16,98,8089,2,4,8
107,16,98,8089,2,4,8
108,16,98,8089,2,4,8
109,16,98,8089,2,4,8
110,16,98,8089,2,4,8
111,16,98,8089,2,4,8
112,16,98,8089,2,4,8
113,16,98,8089,2,4,8
114,16,98,8089,2,4,8
115,16,98,8089,2,4,8
116,16,98,8089,2,4,8
117,16,98,8089,2,4,8
118,16,98,8089,2,4,8
119,16,98,8089,2,4,8
120,16,98,8089,2,4,8
121,16,98,8089,2,4,8
122,16,98,8089,2,4,8
123,16,98,8089,2,4,8
124,16,98,8089,2,4,8
125,16,98,8089,2,4,8
126,16,98,8089,2,4,8
127,16,98,8089,2,4,8
128,16,98,8089,2,4,8
129,16,98,8089,2,4,8
130,16,98,8089,2,4,8
131,16,98,8089,2,4,8
132,16,98,8089,2,4,8
133,16,98,8089,2,4,8
134,16,92,8013,0,5,9
135,42,92,8013,0,5,9
136,42,92,8013,0,5,9
137,42,92,8013,0,5,9
138,42,92,8013,0,5,9
139,42,92,8013,0,5,9
140,42,92,8013,0,5,9
141,42,92,8013,0,5,9
142,42,92,8013,0,5,9
143,42,92,8013,0,5,9
144,42,92,8013,0,5,9
145,42,92,8013,0,5,9
146,42,92,8013,0,5,9
147,42,92,8013,0,5,9
148,42,92,8013,0,5,9
149,42,92,8013,0,5,9
150,42,92,8013,0,5,9
151,42,92,8013,0,5,9
152,42,92,8013,0,5,9
153,42,92,8013,0,5,9
154,42,92,8013,0,5,9
155,42,92,8013,0,5,9
156,42,92,8013,0,5,9
157,42,92,8013,0,5,9
158,42,92,8013,0,5,9
159,42,92,8013,0,5,9
160,42,92,8013,0,5,9
161,42,92,8013,0,5,9
162,42,92,8013,0,5,9
163,42,92,8013,0,5,9
164,42,92,8013,0,5,9
165,42,92,8013,0,5,9
166,42,92,8013,0,5,9
167,42,92,8013,0,5,9
168,42,92,8013,0,5,9
169,42,92,8013,0,5,9
170,42,92,8013,0,5,9
171,42,92,8013,0,5,9
172,42,92,8013,0,5,9
173,42,92,8013,0,5,9
174,42,92,8013,0,5,9
175,42,92,8013,0,5,9
176,42,92,8013,0,5,9
177,42,92,8013,0,5,9
178,42,92,8013,0,5,9
179,42,92,8013,0,5,9
180,42,92,8013,0,5,9
181,42,92,8013,0,5,9
182,42,92,8013,0,5,9
183,42,92,8013,0,5,9
184,42,92,8013,0,5,9
185,42,92,8013,0,5,9
186,42,92,8013,0,5,9
187,42,92,8013,0,5,9
188,42,92,8013,0,5,9
189,42,92,8013,0,5,9
190,42,92,8013,0,5,9
191,42,92,8013,0,5,9
192,42,92,8013,0,5,9
193,42,92,8013,0,5,9
194,42,92,8013,0,5,9
195,42,92,8013,0,5,9
196,42,92,8013,0,5,9
197,42,92,8013,0,5,9
198,42,92,8013,0,5,9
199,42,92,8013,0,5,9
200,42,92,8013,0,5,9
201,42,92,8013,2,3,11
202,72,36,8043,2,3,11
203,72,36,8043,2,3,11
204,72,36,8043,2,3,11
205,72,36,8043,2,3,11
206,72,36,8043,2,3,11
207,72,36,8043,2,3,11
208,72,36,8043,2,3,11
209,72,36,8043,2,3,11
210,72,36,8043,2,3,11
211,72,36,8043,2,3,11
212,72,36,8043,2,3,11
213,72,36,8043,2,3,11
214,72,36,8043,2,3,11
215,72,36,8043,2,3,11
216,72,36,8043,2,3,11
217,72,36,8043,2,3,11
218,72,36,8043,2,3,11
219,72,36,8043,2,3,11
220,72,36,8043,2,3,11
221,72,36,8043,2,3,11
222,72,36,8043,2,3,11
223,72,36,8043,2,3,11
224,72,36,8043,2,3,11
225,72,36,8043,2,3,11
226,72,36,8043,2,3,11
227,72,36,8043,2,3,11
228,72,36,8043,2,3,11
229,72,36,8043,2,3,11
230,72,36,8043,2,3,11
231,72,36,8043,2,3,11
232,72,36,8043,2,3,11
233,72,36,8043,2,3,11
234,72,36,8043,2,3,11
235,72,36,8043,2,3,11
236,72,36,8043,2,3,11
237,72,36,8043,2,3,11
238,72,36,8043,2,3,11
239,72,36,8043,2,3,11
240,72,36,8043,2,3,11
241,72,36,8043,2,3,11
242,72,36,8043,2,3,11
243,72,36,8043,2,3,11
244,72,36,8043,2,3,11
245,72,36,8043,2,3,11
246,72,36,8043,2,3,11
247,72,36,8043,2,3,11
248,72,36,8043,2,3,11
249,72,36,8043,2,3,11
250,72,36,8043,2,3,11
251,72,36,8043,2,3,11
252,72,36,8043,2,3,11
253,72,36,8043,2,3,11
254,72,36,8043,2,3,11
255,72,36,8043,2,3,11
256,72,36,8043,2,3,11
257,72,36,8043,2,3,11
258,72,36,8043,2,3,11
259,72,36,8043,2,3,11
260,72,36,8043,2,3,11
261,72,36,8043,2,3,11
262,72,36,8043,2,3,11
263,72,36,8043,2,3,11
